1,OLT,SPLICE_ENCLOSURE,Central Macroplaza,0.10
2,POLE,POLE,Poste Palacio de Gobierno,0.00
3,MANHOLE,CONNECTION,Registro Catedral,0.75
4,POLE,SPLICE_ENCLOSURE,Poste Museo MARCO,0.10
5,MANHOLE,CONNECTION,Registro Barrio Antiguo Sur,0.75
6,POLE,SPLITTER_1_16,Poste Fuente de la Vida,13.80
7,POLE,CONNECTION,Poste Interseccion Juarez,0.75
8,MANHOLE,MANHOLE,Registro Plaza Morelos,0.00
9,POLE,POLE,Poste Calle Padre Mier,0.00
10,POLE,POLE,Poste Calle Ocampo,0.00
11,MANHOLE,CONNECTION,Registro Alameda Norte,0.75
12,POLE,SPLITTER_1_16,Poste Alameda Sur,13.80
13,POLE,POLE,Poste Mercado Juarez,0.00
14,MANHOLE,MANHOLE,Registro Estacion Metrorrey Centro,0.00
15,POLE,POLE,Poste Santa Lucia Inicio,0.00
16,POLE,CONNECTION,Poste Santa Lucia Medio,0.75
17,MANHOLE,MANHOLE,Registro Museo Historia Mex,0.00
18,POLE,SPLITTER_1_8,Poste Barrio Antiguo Norte,10.50
19,POLE,CONNECTION,Poste Plaza de la Tecnologia,0.75
20,MANHOLE,SPLICE_ENCLOSURE,Registro Pino Suarez,0.10
21,POLE,POLE,Poste Obispado Base,0.00
24,OLT,OLT,OLT,0.00
